DTC_Code,Fault,MIL type
P0011,A Camshaft Position - Timing Over-Advanced or System Performance - Bank 1,MIL
P0012,A Camshaft Position - Timing Over-Retarded - Bank 1,MIL
P0014,B Camshaft Position - Timing Over-Advanced or System Performance - Bank 1,MIL
P0015,B Camshaft Position - Timing Over-Retarded - Bank 1,MIL
P0016,Crankshaft Position - Camshaft Position Correlation - Bank 1 Sensor A,MIL
P0017,Crankshaft Position - Camshaft Position Correlation - Bank 1 Sensor B,MIL
P0018,Crankshaft Position - Camshaft Position Correlation - Bank 2 Sensor A,MIL
P0019,Crankshaft Position - Camshaft Position Correlation - Bank 2 Sensor B,MIL
P0021,A Camshaft Position - Timing Over-Advanced or System Performance - Bank 2,MIL
P0022,A Camshaft Position - Timing Over-Retarded - Bank 2,MIL
P0024,B Camshaft Position - Timing Over-Advanced or System Performance - Bank 2,MIL
P0025,B Camshaft Position - Timing Over-Retarded - Bank 2,MIL
P025C,Fuel Pump Module A Control Circuit Low,MIL
P025D,Fuel Pump Module A Control Circuit High,MIL
P0071,Ambient Air Temperature Sensor Range/Performance,MIL
P0072,Ambient Air Temperature Sensor Circuit Low,MIL
P0073,Ambient Air Temperature Sensor Circuit High,MIL
P0076,Intake Valve Control Solenoid Circuit Low - Bank 1,MIL
P0077,Intake Valve Control Solenoid Circuit High - Bank 1,MIL
P0079,Exhaust Valve Control Solenoid Circuit Low - Bank 1,MIL
P0080,Exhaust Valve Control Solenoid Circuit High - Bank 1,MIL
P0082,Intake Valve Control Solenoid Circuit Low - Bank 2,MIL
P0083,Intake Valve Control Solenoid Circuit High - Bank 2,MIL
P0085,Exhaust Valve Control Solenoid Circuit Low - Bank 2,MIL
P0086,Exhaust Valve Control Solenoid Circuit High - Bank 2,MIL
P0087,Fuel Rail/System Pressure - Too Low,MIL
P0088,Fuel Rail/System Pressure - Too High,MIL
P0096,Intake Air Temperature Sensor 2 Circuit Range/Performance,MIL
P0097,Intake Air Temperature Sensor 2 Circuit Low,MIL
P0098,Intake Air Temperature Sensor 2 Circuit High,MIL
P0101,Mass or Volume Air Flow Circuit Range/Performance,MIL
P0102,Mass or Volume Air Flow Circuit Low Input,MIL
P0103,Mass or Volume Air Flow Circuit High Input,MIL
P0106,Manifold Absolute Pressure/Barometric Pressure Circuit Range/Performance,MIL
P0107,Manifold Absolute Pressure/Barometric Pressure Circuit Low Input,MIL
P0108,Manifold Absolute Pressure/Barometric Pressure Circuit High Input,MIL
P0111,Intake Air Temperature Sensor 1 Circuit Range/Performance,MIL
P0112,Intake Air Temperature Sensor 1 Circuit Low,MIL
P0113,Intake Air Temperature Sensor 1 Circuit High,MIL
P0116,Engine Coolant Temperature Circuit Range/Performance,MIL
P0117,Engine Coolant Temperature Circuit Low,MIL
P0118,Engine Coolant Temperature Circuit High,MIL
P0122,Throttle Position Sensor 'A' Circuit Low,MIL
P0123,Throttle Position Sensor 'A' Circuit High,MIL
P0128,Coolant Thermostat (Coolant Temperature Below Thermostat Regulating Temperature),MIL
P0131,O2 Sensor Circuit Low Voltage (Pre Catalyst) - Bank1,MIL
P0132,O2 Sensor Circuit High Voltage (Pre Catalyst) - Bank1,MIL
P0133,O2 Sensor Circuit Slow Response (Pre Catalyst) - Bank1,MIL
P0134,O2 Sensor Circuit No Activity Detected (Pre Catalyst) - Bank1,MIL
P0135,O2 Sensor Heater Circuit (Pre Catalyst) - Bank1,MIL
P0137,O2 Sensor Circuit Low Voltage (Post Catalyst) - Bank1,MIL
P0138,O2 Sensor Circuit High Voltage (Post Catalyst) - Bank1,MIL
P0139,O2 Sensor Circuit Slow Response (Post Catalyst),MIL
P0140,O2 Sensor Circuit No Activity Detected (Post Catalyst) - Bank1,MIL
P0141,O2 Sensor Heater Circuit (Post Catalyst) - Bank1,MIL
P0151,O2 Sensor Circuit Low Voltage (Pre Catalyst) – Bank2,MIL
P0152,O2 Sensor Circuit High Voltage (Pre Catalyst) – Bank2,MIL
