Address,Text,Response,DataPos,DataSize,DataMask
22 02 0E,Serial Number,62 02 0E,3,4,-1
22 02 0F,Hardware Number,62 02 0F,3,4,-1
22 02 10,Cryptoflag,62 02 10,3,4,-1
22 02 11,ECU Type,62 02 11,3,4,-1
22 02 1C,ECU ID,62 02 1C,3,4,-1
22 02 1D,ECU ID,62 02 1D,3,4,-1
22 02 1E,ECU ID,62 02 1E,3,4,-1
22 02 1F,ECU ID,62 02 1F,3,4,-1
22 02 21,ECU ID,62 02 21,3,4,-1
22 02 22,ECU ID,62 02 22,3,4,-1
22 02 23,ECU ID,62 02 23,3,4,-1
22 02 24,ECU ID,62 02 24,3,4,-1
22 02 63,Variant Code,62 02 63,3,4,-1
22 02 64,Variant Code,62 02 64,3,4,-1
