Address,Text,Response,DataPos,DataSize,DataMask,isSigned,LoFirst,M,C,DPs,TextUnit
22 02 01,System Leak Status,62 02 01,0,1,255,FALSE,FALSE,1,0,0,
22 02 02,Purge DC,62 02 02,0,1,255,FALSE,FALSE,0.390625,0,1,%
22 02 03,Idle Learn,62 02 03,0,2,65535,TRUE,FALSE,9.76563E-05,0,2,g/sec
22 02 04,Idle Air Output,62 02 04,0,1,255,FALSE,FALSE,0.1,0,1,g/sec
22 02 05,Injection Pulse Time (B1),62 02 05,2,2,65535,FALSE,FALSE,1,0,0,us
22 02 06,Idle Status,62 02 06,0,1,255,FALSE,FALSE,1,0,0,
22 02 07,VVT Target Cam Position (inlet),62 02 07,0,2,65535,TRUE,FALSE,0.25,0,2,deg
22 02 08,VVT Actual Cam Position (B1 inlet),62 02 08,0,2,65535,TRUE,FALSE,0.25,0,2,deg
22 02 09,VVL Status,62 02 09,0,1,1,FALSE,FALSE,1,0,0,
22 02 0A,Cat Diag Pre-Cat Sw B1,62 02 0A,0,2,65535,FALSE,FALSE,1,0,0,
22 02 0B,Cat Diag Pre-Cat Max Sw,62 02 0B,0,2,65535,FALSE,FALSE,1,0,0,
22 02 0C,Gear Position,62 02 0C,0,1,255,FALSE,FALSE,1,0,0,
22 02 0D,Idle Speed Target,62 02 0D,0,1,255,FALSE,FALSE,5,600,0,rpm
22 02 12,Purge Vacuum Pressure,62 02 12,0,2,65535,TRUE,FALSE,0.1,0,1,mbar
22 02 13,Air Fuel Ratio Target,62 02 13,0,2,65535,FALSE,FALSE,0.01,0,1,ratio
22 02 14,Fuel Pump Relay,62 02 14,0,1,1,FALSE,FALSE,1,0,0,
22 02 14,Recirc Pump Relay,62 02 14,0,1,2,FALSE,FALSE,0.5,0,0,
22 02 14,Radiator Fan #2 relay,62 02 14,0,1,4,FALSE,FALSE,0.25,0,0,
22 02 14,Radiator Fan #1 relay,62 02 14,0,1,8,FALSE,FALSE,0.125,0,0,
22 02 14,A/C Clutch Relay,62 02 14,0,1,16,FALSE,FALSE,0.0625,0,0,
22 02 14,Traction Control Status LED,62 02 14,0,1,32,FALSE,FALSE,0.03125,0,0,
22 02 14,ACIS Intake Air Control,62 02 14,0,1,64,FALSE,FALSE,0.015625,0,0,
22 02 14,Cranking Relay,62 02 14,0,1,128,FALSE,FALSE,0.0078125,0,0,
22 02 15,Left front tyre pressure,62 02 15,0,1,255,FALSE,FALSE,0.04,0,2,bar
22 02 15,Right front tyre pressure,62 02 15,1,1,255,FALSE,FALSE,0.04,0,2,bar
22 02 15,Left rear tyre pressure,62 02 15,2,1,255,FALSE,FALSE,0.04,0,2,bar
22 02 15,Right rear tyre pressure,62 02 15,3,1,255,FALSE,FALSE,0.04,0,2,bar
22 02 16,Tyre Pressure Monitor System fault,62 02 16,0,1,1,FALSE,FALSE,1,0,0,
22 02 16,Front Left Tyre Pressure Not Valid,62 02 16,1,1,1,FALSE,FALSE,1,0,0,
22 02 16,Front Right Tyre Pressure Not Valid,62 02 16,1,1,2,FALSE,FALSE,0.5,0,0,
22 02 16,Rear Left Tyre Pressure Not Valid,62 02 16,1,1,4,FALSE,FALSE,0.25,0,0,
22 02 16,Rear Right Tyre Pressure Not Valid,62 02 16,1,1,8,FALSE,FALSE,0.125,0,0,
22 02 16,Front Left Low Pressure,62 02 16,1,1,16,FALSE,FALSE,0.0625,0,0,
