CRP-FILE ,CALID     ,Calibration Signature           ,Size ,Software                             ,Market (Addon)
B120E06H ,B120E0006H,T420e01  05-04-2004 11:51       ,15516,Broft200 05th Apr  04 Lotus Eng      ,ROW
CD0MA007 ,CD0MA007  ,CD0MA007        02-02-2011 11:52,27048,CD0MA000    Jan  7 2011 09:41:48000VC,N/A
CD0MB008 ,CD0MA008  ,CD0MB008        10-04-2011 11:03,27048,CD0MB000    Oct  3 2011 15:26:36000VC,N/A
CD0MB009 ,CD0MA009  ,CD0MB009        10-04-2011 10:58,27048,CD0MB000    Oct  3 2011 15:26:36000VC,N/A
3CE434B  ,3CE434B   ,C1D3M110        12-11-2013 16:27,27048,C1D3M000____Dec 10 2013 15:47:31V0000,N/A
C121E02H ,C121E0002H,T4221F01 12-07-2010 11:50       ,15516,Croft221  2nd Dec  10 Lotus Eng      ,FED
D120E06H ,D120E0006H,T422E02  08-02-2006 11:50       ,15516,Croft222  8th Feb  06 Lotus Eng      ,ROW
D129E64H ,D129E6004H,AT09F04  12-13-2010 14:26       ,15508,CroftT4E090 03/12/2010 Lotus EngV0099,FED
F121E10H ,F121E0010H,T4E09F04 12-13-2010 14:36       ,15516,CroftT4E090 03/12/2010 Lotus EngV0099,FED
C131E18H ,C131E6018H,SEC09E05 09-07-2007 11:37       ,15508,CroftT4E090 27/02/2007 Lotus EngV0097,EU
C128E10H ,C128E6010H,ATL09E02 09-11-2007 13:24       ,15540,CroftT4E090 27/02/2007 Lotus EngV0097,ROW
D120E30H ,D120E0030H,T4E09E02 09-11-2007 13:24       ,15520,CroftT4E090 27/02/2007 Lotus EngV0097,ROW
D121E10H ,D121E0010H,t4e09f02 02-28-2007 10:48       ,15516,CroftT4E095 27/02/2007 Lotus EngV0095,FED
A128E10H ,A128E6010H,ATL07E01 01-23-2006 12:43       ,15520,T4E070 01/11/2005 Lotus EngV0078     ,ROW
B120E30H ,B120E0030H,t4e08e01 02-20-2006 11:19       ,15528,T4E080 20/02/2006 Lotus EngV0080     ,ROW
A131E0018,A131E0018 ,A131E018 09-05-2007 11:59       ,15540,T4E090 14/07/2006 Lotus EngV0091     ,EU
A121E0013,A121E0013 ,A121E013 09-05-2007 11:55       ,15540,T4E090 14/07/2006 Lotus EngV0091     ,FED
A128E0032,A128E0032 ,A128E032 09-05-2007 11:56       ,15540,T4E090 14/07/2006 Lotus EngV0091     ,FED
A129E0001,A129E0001 ,A129E001 09-05-2007 11:57       ,15540,T4E090 14/07/2006 Lotus EngV0091     ,FED
B121E0014,B121E0014 ,B121E014 01-29-2008 10:37       ,15540,T4E090 14/07/2006 Lotus EngV0091     ,FED
A128E0036,A128E0036 ,A128E036 02-07-2008 11:18       ,15540,T4E090 14/07/2006 Lotus EngV0091     ,FED ROW
A127E0062,A127E0062 ,A127E062 09-10-2007 15:57       ,15540,T4E090 14/07/2006 Lotus EngV0091     ,N/A
A127E0064,A127E0064 ,A127E064 09-10-2008 16:12       ,15540,T4E090 14/07/2006 Lotus EngV0091     ,N/A
A127E0066,A127E0066 ,A127E066 09-10-2008 16:15       ,15540,T4E090 14/07/2006 Lotus EngV0091     ,N/A
A127E0068,A127E0068 ,A127E068 09-10-2008 16:17       ,15540,T4E090 14/07/2006 Lotus EngV0091     ,N/A
A120E0034,A120E0034 ,A120E034 09-06-2007 12:20       ,15540,T4E090 14/07/2006 Lotus EngV0091     ,ROW
A128E0031,A128E0031 ,A128E031 09-05-2007 12:00       ,15540,T4E090 14/07/2006 Lotus EngV0091     ,ROW
A129E0002,A129E0002 ,A129E002 09-05-2007 12:01       ,15540,T4E090 14/07/2006 Lotus EngV0091     ,ROW
B120E0035,B120E0035 ,B120E035 01-29-2008 14:23       ,15540,T4E090 14/07/2006 Lotus EngV0091     ,ROW
A121E0034,         ?,                               ?,    ?,                                    ?,?
A121E0036,         ?,                               ?,    ?,                                    ?,?
        ?,ALS3M0239K,CUP09F05 02-11-2006 11:30       ,15502,T4E090 14/07/2006 Lotus EngV0093     ,?
T4EFTFUL ,ALS3M0256F,t4e09et3 11-24-2006 08:33       ,15520,T4E090 14/07/2006 Lotus EngV0093     ,?
A128E0056,A128E0056 ,A128E056 12-10-2008 11:43       ,15540,T4E_MY09 03/12/2008 Lotus Eng   V0003,TRACK
A121E0023,A121E0023 ,A121E023 01-19-2009 14:29       ,15540,T4E_MY09 03/12/2008 Lotus Eng   V0003,FED
A121E0025,A121E0025 ,A121E025 01-19-2009 14:29       ,15540,T4E_MY09 03/12/2008 Lotus Eng   V0003,FED
A128E0046,A128E0046 ,A128E046 01-19-2009 14:29       ,15540,T4E_MY09 03/12/2008 Lotus Eng   V0003,FED
A128E0050,A128E0050 ,A128E050 01-19-2009 14:30       ,15540,T4E_MY09 03/12/2008 Lotus Eng   V0003,FED
A128E0052,A128E0052 ,A128E052 01-19-2009 14:29       ,15540,T4E_MY09 03/12/2008 Lotus Eng   V0003,FED
A121E0030,A121E0030 ,A121E030 01-19-2009 14:30       ,15540,T4E_MY09 03/12/2008 Lotus Eng   V0003,GCC
A128E0064,A128E0064 ,A128E064 01-19-2009 14:31       ,15540,T4E_MY09 03/12/2008 Lotus Eng   V0003,GCC
B121E0027,B121E0027 ,B121E027 04-06-2007 09:47       ,15540,T4E_MY09 03/12/2008 Lotus Eng   V0003,GCC
B121E0030,B121E0030 ,B121E030 04-06-2007 09:54       ,15540,T4E_MY09 03/12/2008 Lotus Eng   V0003,GCC
B128E0058,B128E0058 ,B128E058 04-06-2009 10:35       ,15540,T4E_MY09 03/12/2008 Lotus Eng   V0003,GCC
B128E0061,B128E0061 ,B128E061 04-06-2007 10:20       ,15540,T4E_MY09 03/12/2008 Lotus Eng   V0003,GCC
A121E0037,A121E0037 ,A121E037 08-18-2009 09:55       ,15556,T4E_MY10 17/09/2009 Lotus Eng   V0001,FED KOREA
A121E0039,A121E0039 ,A121E039 08-18-2009 09:59       ,15556,T4E_MY10 17/09/2009 Lotus Eng   V0001,FED KOREA
A128E0069,A128E0069 ,A128E069 08-18-2009 10:07       ,15556,T4E_MY10 17/09/2009 Lotus Eng   V0001,FED KOREA
A128E0071,A128E0071 ,A128E071 08-18-2009 10:09       ,15556,T4E_MY10 17/09/2009 Lotus Eng   V0001,FED KOREA
A128E0073,A128E0073 ,A128E073 08-18-2009 10:05       ,15556,T4E_MY10 17/09/2009 Lotus Eng   V0001,FED KOREA
A121E0041,A121E0041 ,A121E041 08-18-2009 10:36       ,15556,T4E_MY10 17/09/2009 Lotus Eng   V0001,GCC
A121E0043,A121E0043 ,A121E043 08-18-2009 10:37       ,15556,T4E_MY10 17/09/2009 Lotus Eng   V0001,GCC
A128E0078,A128E0078 ,A128E078 08-18-2009 10:15       ,15556,T4E_MY10 17/09/2009 Lotus Eng   V0001,GCC
A128E0082,A128E0082 ,A128E082 08-18-2009 10:16       ,15556,T4E_MY10 17/09/2009 Lotus Eng   V0001,GCC
A128E0086,A128E0086 ,A128E086 08-18-2009 10:40       ,15556,T4E_MY10 17/09/2009 Lotus Eng   V0001,GCC
A127E0072,A127E0072 ,A127E072 08-18-2009 10:45       ,15556,T4E_MY10 17/09/2009 Lotus Eng   V0001,KOREA N/A
A127E0076,A127E0076 ,A127E076 08-18-2009 10:47       ,15556,T4E_MY10 17/09/2009 Lotus Eng   V0001,KOREA N/A
A127E0070,A127E0070 ,A127E070 08-18-2009 10:44       ,15556,T4E_MY10 17/09/2009 Lotus Eng   V0001,N/A
A127E0074,A127E0074 ,A127E074 08-18-2009 10:46       ,15556,T4E_MY10 17/09/2009 Lotus Eng   V0001,N/A
A120E0096,A120E0096 ,A120E096 08-18-2009 10:48       ,15556,T4E_MY10 17/09/2009 Lotus Eng   V0001,ROW
A120E0102,A120E0102 ,A120E102 08-18-2009 10:51       ,15556,T4E_MY10 17/09/2009 Lotus Eng   V0001,ROW
A128E0076,A128E0076 ,A128E076 08-18-2009 10:56       ,15556,T4E_MY10 17/09/2009 Lotus Eng   V0001,ROW
A128E0080,A128E0080 ,A128E080 08-18-2009 10:57       ,15556,T4E_MY10 17/09/2009 Lotus Eng   V0001,ROW
A128E0084,A128E0084 ,A128E084 08-18-2009 10:53       ,15556,T4E_MY10 17/09/2009 Lotus Eng   V0001,ROW
A131E0022,A131E0022 ,A131E022 08-18-2009 10:50       ,15556,T4E_MY10 17/09/2009 Lotus Eng   V0001,ROW
A128E0088,A128E0088 ,A128E088 08-18-2009 10:54       ,15556,T4E_MY10 17/09/2009 Lotus Eng   V0001,TRACK
A121E0046,A121E0046 ,A121E046 05-27-2010 08:46       ,15556,T4E_MY11 10/06/2010 Lotus Eng   V0001,FED KOREA
A121E0050,A121E0050 ,A121E050 05-27-2010 08:47       ,15556,T4E_MY11 10/06/2010 Lotus Eng   V0001,FED KOREA
A128E0092,A128E0092 ,A128E092 05-27-2010 08:47       ,15556,T4E_MY11 10/06/2010 Lotus Eng   V0001,FED KOREA
A128E0098,A128E0098 ,A128E098 05-27-2010 08:47       ,15556,T4E_MY11 10/06/2010 Lotus Eng   V0001,FED KOREA
A128E0102,A128E0102 ,A128E102 05-27-2010 09:20       ,15556,T4E_MY11 10/06/2010 Lotus Eng   V0001,FED KOREA
A708E0083,A708E0083 ,A708E0083       03-29-2018 11:09,27052,T6-311-430  V0006 12/02/2018         ,ROW TRACK
B708E0033,B708E0033 ,B708E0033        12-08-2016 8:50,27052,T6-311-ROAD V0006 05/12/2016         ,TRACK
C704E0015,C704E0015 ,C704E0015       01-25-2017 10:41,27048,T6AINB V00D 25/01/2017 LotusEng      ,ROW TRACK
C120E0207,C120E0207 ,C120E0207       03-25-2019 11:58,27048,T6AINB V00F 06/06/2018 LotusEng      ,ROW
D120E0207,D120E0207 ,D120E0207       03-09-2020 16:26,27048,T6AINB V00F 06/06/2018 LotusEng      ,ROW
A120E0228,A120E0228 ,A120E0228       01-28-2021 19:27,27048,T6AINB V00F 25/11/2020 LotusEng      ,ROW
